category,estimated_revenue_usd,avg_price_usd,median_price_usd,products,avg_sales,median_sales,total_sales,avg_rating,revenue_per_product_usd
Software Development,65800000,39.95,11.97,1083,293,17,317839,2.52,60814
Other,64200000,128.91,20.00,729,419,90,305759,3.36,88048
Business & Money,15400000,49.49,15.00,1520,247,25,374710,3.03,10130
3D Assets,13900000,40.71,15.00,2082,290,62,603750,3.74,6675
Design,8800000,29.35,17.98,1202,331,29,398277,2.74,7365
Self-Improvement,8700000,26.67,14.99,1016,273,31,277080,2.90,8536
Education,6500000,235.12,19.99,747,249,24,186034,2.68,8664
Drawing & Painting,6000000,18.19,10.00,1028,401,21,411944,2.83,5866
Films,4300000,27.95,12.00,550,241,13,132300,2.18,7905
Fitness & Health,4200000,37.45,15.00,379,243,23,92006,3.36,11046
Writing & Publishing,3600000,40.50,17.50,226,381,41,86071,3.18,15750
Music & Sound Design,1900000,26.06,15.00,661,161,26,106114,2.73,2869
Photography,1500000,14.53,6.99,516,317,14,163715,2.60,2879
Gaming,756000,14.67,5.00,779,71,17,55141,2.64,971
Comics & Graphic Novels,373000,9.46,5.00,163,133,5,21743,2.53,2287
Audio,77000,27.43,20.00,64,40,17.5,2559,2.99,1200
Fiction Books,32000,14.65,4.99,118,25,5,2910,2.71,274
Recorded Music,32000,9.53,5.00,89,33,3,2941,1.26,355
